date;city;channel;orders_count;unique_customers;items_sold;gross_revenue_eur;refunds_eur;net_revenue_eur
2025-03-15;Bordeaux;app;8;8;70;816.8999999999999;-123.30000000000001;940.2
2025-03-15;Bordeaux;web;8;8;69;663.3;-199.95;863.25
2025-03-15;Lille;app;9;9;78;889.4000000000001;-159.95000000000002;1049.35
2025-03-15;Lille;web;6;6;47;601.5999999999999;-29.88;631.48
2025-03-15;Lyon;app;9;9;75;917.2;-63.45;980.6500000000001
2025-03-15;Lyon;web;6;6;51;594.2;-152.57999999999998;746.78
2025-03-15;Marseille;app;7;7;58;712.4;-139.71000000000004;852.11
2025-03-15;Marseille;web;6;6;46;636.3;-29.72;666.02
2025-03-15;Nantes;app;5;5;48;527.5;-157.28;684.78
2025-03-15;Nantes;web;6;6;46;404.70000000000005;-116.13999999999999;520.8399999999999
2025-03-15;Nice;app;4;4;38;401.40000000000003;0.0;401.40000000000003
2025-03-15;Nice;web;4;4;39;512.0;0.0;512.0
2025-03-15;Paris;app;5;4;28;286.5;-31.48;317.98
2025-03-15;Paris;web;5;5;19;95.0;-6.68;101.68
2025-03-15;Toulouse;app;7;6;68;820.4;-107.89999999999999;928.3000000000001
2025-03-15;Toulouse;web;5;4;50;551.7;-62.75;614.45
